Ativo;Data;time;open;high;low;close;Volume;Quantidade
WDOFUT;12/01/2022;10:30:00;5.609,500;5.620,500;5.605,000;5.610,500;2.081.777.895,00;37.093
WDOFUT;12/01/2022;10:29:00;5.611,000;5.616,000;5.607,500;5.609,000;913.120.980,00;16.269
WDOFUT;12/01/2022;10:28:00;5.610,500;5.612,000;5.608,000;5.611,000;769.851.365,00;13.723
WDOFUT;12/01/2022;10:27:00;5.604,500;5.612,000;5.604,000;5.610,500;774.049.885,00;13.801
WDOFUT;12/01/2022;10:26:00;5.602,000;5.605,000;5.602,000;5.604,500;159.917.855,00;2.854
WDOFUT;12/01/2022;10:25:00;5.604,500;5.605,000;5.601,500;5.602,000;210.783.910,00;3.762
WDOFUT;12/01/2022;10:24:00;5.605,500;5.606,000;5.603,500;5.604,500;203.344.145,00;3.628
WDOFUT;12/01/2022;10:23:00;5.604,000;5.605,500;5.604,000;5.605,000;98.423.985,00;1.756
WDOFUT;12/01/2022;10:22:00;5.604,500;5.605,500;5.604,000;5.604,000;112.765.780,00;2.012
WDOFUT;12/01/2022;10:21:00;5.603,500;5.605,500;5.603,000;5.604,500;198.675.725,00;3.545
WDOFUT;12/01/2022;10:20:00;5.601,500;5.605,500;5.601,000;5.604,000;333.610.430,00;5.953
WDOFUT;12/01/2022;10:19:00;5.603,000;5.603,000;5.601,000;5.602,000;193.990.520,00;3.463
WDOFUT;12/01/2022;10:18:00;5.599,500;5.603,500;5.599,000;5.603,000;503.889.210,00;8.995
WDOFUT;12/01/2022;10:17:00;5.603,500;5.604,000;5.596,500;5.599,000;987.411.070,00;17.634
WDOFUT;12/01/2022;10:16:00;5.604,500;5.607,000;5.603,500;5.603,500;219.272.955,00;3.912
WDOFUT;12/01/2022;10:15:00;5.605,000;5.606,500;5.604,000;5.604,500;171.963.220,00;3.068
WDOFUT;12/01/2022;10:14:00;5.605,000;5.606,500;5.604,500;5.604,500;163.670.595,00;2.920
WDOFUT;12/01/2022;10:13:00;5.606,500;5.608,000;5.604,500;5.605,500;252.048.740,00;4.496
